subj size,subj type,subj param,query start,query size,direct set,query type,container mode,init time,warmup time,total query time,run count,average time,success
100,exponential,3,3,10,false,sel,any,58707,15709,24038,20,1201,OK
100,exponential,3,3,10,false,sel,ordered,52858,15610,21666,20,1083,OK
100,exponential,3,3,10,false,sel,unordered,49831,14711,21669,20,1083,OK
100,exponential,3,3,10,false,shuffle,any,71131,19944,20920,20,1046,OK
100,exponential,3,3,10,false,shuffle,unordered,49113,14371,21436,20,1071,OK
100,exponential,3,3,10,true,all,any,54825,14439,17026,20,851,OK
100,exponential,3,3,10,true,all,exact,51976,15337,19390,20,969,OK
100,exponential,3,3,10,true,all,ordered,55037,16364,22657,20,1132,OK
100,exponential,3,3,10,true,all,unordered,49539,14847,21271,20,1063,OK
100,exponential,3,3,10,true,sel,any,62434,17713,23861,20,1193,OK
100,exponential,3,3,10,true,sel,ordered,54276,15137,21991,20,1099,OK
100,exponential,3,3,10,true,sel,unordered,50902,14991,20511,20,1025,OK
100,exponential,3,3,10,true,shuffle,any,63082,16698,25302,20,1265,OK
100,exponential,3,3,10,true,shuffle,unordered,49624,14367,20615,20,1030,OK
100,exponential,3,3,1,false,all,any,54435,13067,8946,20,447,OK
100,exponential,3,3,1,false,all,exact,50933,11500,12758,20,637,OK
100,exponential,3,3,1,false,all,ordered,52391,12981,13816,20,690,OK
100,exponential,3,3,1,false,all,unordered,49439,11347,12886,20,644,OK
100,exponential,3,3,1,false,sel,any,66012,12667,14402,20,720,OK
100,exponential,3,3,1,false,sel,ordered,52295,12179,12869,20,643,OK
100,exponential,3,3,1,false,sel,unordered,49741,11849,12980,20,649,OK
100,exponential,3,3,1,false,shuffle,any,58324,17046,17781,20,889,OK
100,exponential,3,3,1,false,shuffle,unordered,48833,11225,12989,20,649,OK
100,exponential,3,3,1,true,all,any,57740,13778,15701,20,785,OK
100,exponential,3,3,1,true,all,exact,51823,11609,13139,20,656,OK
100,exponential,3,3,1,true,all,ordered,52506,13383,13143,20,657,OK
